Date,Open,High,Low,Close,Adj Close,Volume
2016-10-13,62.250000,62.950001,61.939999,62.509998,60.700924,14541500
2016-10-14,62.720001,62.860001,62.130001,62.139999,60.341633,12204200
2016-10-17,62.049999,62.049999,60.799999,61.520000,59.739582,13054600
2016-10-18,61.900002,62.619999,61.830002,62.090000,60.293079,9956500
2016-10-19,62.130001,62.299999,61.810001,61.869999,60.079445,5582700
2016-10-20,61.950001,62.270000,61.689999,61.919998,60.127998,6323400
2016-10-21,61.549999,61.900002,61.029999,61.200001,59.428837,7406700
2016-10-24,61.400002,61.480000,60.639999,60.750000,58.991859,9943000
2016-10-25,60.270000,62.189999,59.549999,61.950001,60.157131,15188500
2016-10-26,61.740002,61.849998,60.549999,60.869999,59.108383,9957800
2016-10-27,61.150002,62.060001,61.000000,61.290001,59.516232,10350700
2016-10-28,61.020000,61.070000,58.450001,58.840000,57.137138,20358400
2016-10-31,59.090000,59.150002,58.369999,58.720001,57.020615,14254800
2016-11-01,59.000000,59.590000,58.509998,59.299999,57.583824,14347400
2016-11-02,59.060001,59.509998,58.750000,58.840000,57.137138,10724700
2016-11-03,59.180000,59.220001,58.290001,58.430000,56.739002,11323000
2016-11-04,58.689999,59.270000,58.610001,58.820000,57.117714,11318600
2016-11-07,59.520000,60.209999,59.480000,60.049999,58.312119,10478300
2016-11-08,59.820000,60.779999,59.520000,60.509998,58.758804,7903700
2016-11-09,63.959999,65.000000,62.759998,64.180000,62.322598,27851100
2016-11-10,64.540001,65.459999,64.519997,64.959999,63.080021,17862300
2016-11-11,64.080002,64.510002,63.580002,63.950001,62.099258,14059700
2016-11-14,64.000000,64.089996,63.240002,63.529999,61.691402,10056700
2016-11-15,63.680000,63.730000,63.080002,63.650002,61.807938,7290400
2016-11-16,63.700001,63.950001,62.450001,62.630001,60.817455,10634500
2016-11-17,62.509998,62.790001,62.119999,62.700001,60.885426,8361300
2016-11-18,62.570000,62.619999,61.730000,61.869999,60.079445,7696900
2016-11-21,61.939999,62.389999,61.720001,62.299999,60.497005,6836700
2016-11-22,62.500000,62.650002,61.209999,61.700001,59.914364,9592200
2016-11-23,60.330002,61.700001,59.820000,61.639999,59.856106,9149000
2016-11-25,61.820000,62.400002,61.750000,62.209999,60.409607,3501300
2016-11-28,61.779999,62.060001,61.619999,61.799999,60.011475,7449400
2016-11-29,61.950001,62.459999,61.919998,62.189999,60.390186,10034900
2016-11-30,62.310001,62.320000,60.990002,61.189999,59.419125,12530700
2016-12-01,61.299999,61.369999,60.650002,60.759998,59.001572,8398900
2016-12-02,61.049999,61.520000,60.630001,61.130001,59.360867,7993100
2016-12-05,61.520000,61.529999,59.840000,60.250000,58.506332,12985200
2016-12-06,60.180000,60.389999,59.610001,60.279999,58.535461,10659600
2016-12-07,59.700001,60.060001,58.619999,60.060001,58.321831,14049600
2016-12-08,59.730000,60.360001,59.500000,60.119999,58.380089,8586600
2016-12-09,60.490002,61.509998,60.400002,61.230000,59.457970,10516400
2016-12-12,61.439999,62.099998,61.299999,61.720001,59.933788,8246000
2016-12-13,61.799999,61.959999,61.250000,61.790001,60.462189,7842200
2016-12-14,61.849998,62.759998,61.590000,61.799999,60.471970,11080700
2016-12-15,62.000000,62.639999,61.840000,62.369999,61.029716,8509400
2016-12-16,62.660000,63.029999,62.049999,62.439999,61.098217,13785700
2016-12-19,61.799999,62.270000,60.869999,61.139999,59.826157,11939000
2016-12-20,61.189999,61.680000,60.369999,60.500000,59.199905,10377100
2016-12-21,60.590000,60.810001,59.340000,59.430000,58.152897,12052200
2016-12-22,59.619999,60.000000,59.160000,59.580002,58.299679,10100000
2016-12-23,59.770000,59.860001,59.250000,59.560001,58.280106,7590000
2016-12-27,59.869999,60.139999,59.560001,59.790001,58.505161,5815600
2016-12-28,59.720001,59.860001,59.209999,59.270000,57.996338,6174600
2016-12-29,59.290001,59.590000,58.980000,59.040001,57.771282,6487700
2016-12-30,58.779999,58.950001,58.560001,58.869999,57.604931,10772600
2017-01-03,59.150002,60.380001,59.049999,60.150002,58.857426,11988700
2017-01-04,60.500000,60.790001,60.040001,60.130001,58.837856,9411900
2017-01-05,60.220001,60.580002,60.000000,60.110001,58.818287,10096800
2017-01-06,60.090000,60.459999,59.529999,60.270000,58.974850,10238600
2017-01-09,60.299999,61.480000,60.080002,61.099998,59.787014,9698400
2017-01-10,61.200001,61.240002,59.889999,59.919998,58.632366,15302200
2017-01-11,62.340000,63.160000,60.750000,61.630001,60.305622,32711700
2017-01-12,62.529999,63.240002,62.119999,62.209999,60.873158,24885400
2017-01-13,62.330002,62.680000,62.099998,62.340000,61.000366,9969100
2017-01-17,61.919998,62.070000,61.200001,61.480000,60.158848,10576600
2017-01-18,61.380001,61.779999,61.080002,61.169998,59.855507,8131700
2017-01-19,61.049999,61.080002,60.070000,60.330002,59.033558,11397900
2017-01-20,62.400002,62.919998,62.150002,62.529999,61.186283,25240300
2017-01-23,61.810001,62.400002,61.630001,61.810001,60.481754,10201700
2017-01-24,61.590000,61.689999,60.730000,61.209999,59.894650,10487500
2017-01-25,61.320000,61.380001,60.759998,61.080002,59.767445,14557000
2017-01-26,61.020000,61.360001,60.540001,61.200001,59.884865,12707500
2017-01-27,61.380001,61.990002,61.299999,61.750000,60.423046,6653200
2017-01-30,61.520000,61.709999,60.930000,61.430000,60.109924,7853600
2017-01-31,61.060001,62.240002,60.919998,61.990002,60.657890,9821100
2017-02-01,62.060001,62.270000,61.560001,62.099998,60.765522,11018800
2017-02-02,62.639999,64.209999,62.529999,64.180000,62.800823,18990200
2017-02-03,63.860001,64.330002,63.270000,64.290001,62.908459,11650500
2017-02-06,63.919998,64.949997,63.900002,64.940002,63.544495,9158800
2017-02-07,64.760002,64.930000,64.050003,64.199997,62.820389,8435300
2017-02-08,63.900002,64.480003,63.830002,64.320000,62.937817,5906800
2017-02-09,64.320000,64.820000,64.300003,64.389999,63.006313,7052900
2017-02-10,64.320000,64.570000,63.959999,64.150002,62.771469,8531400
2017-02-13,64.250000,64.830002,64.220001,64.769997,63.378143,7151100
2017-02-14,64.639999,65.720001,64.430000,65.660004,64.249023,10080300
2017-02-15,64.900002,65.870003,64.849998,65.160004,63.759766,17807300
2017-02-16,65.139999,65.410004,64.459999,65.260002,63.857616,12346300
2017-02-17,65.199997,65.559998,64.860001,65.389999,63.984821,9048300
2017-02-21,64.900002,65.779999,64.900002,65.480003,64.072891,7386100
2017-02-22,65.500000,65.750000,65.089996,65.290001,63.886974,8679600
2017-02-23,65.519997,66.110001,65.349998,65.849998,64.434937,6855600
2017-02-24,65.650002,66.160004,65.629997,66.160004,64.738274,8444300
2017-02-27,65.779999,65.940002,65.559998,65.849998,64.434937,7133800
2017-02-28,65.809998,66.150002,65.650002,65.870003,64.454506,7740500
2017-03-01,66.070000,66.800003,65.889999,66.209999,64.787201,10680700
2017-03-02,66.379997,66.580002,66.000000,66.080002,64.659996,8647700
2017-03-03,66.080002,66.620003,65.809998,66.580002,65.149261,8316900
